Id,Latitude,Longitude,Zone,Franchisee
4699,40.823573,-73.906347,C,Crown Castle NG East LLC
4700,40.827174,-73.840745,B,Crown Castle NG East LLC
4701,40.883452,-73.833262,B,Crown Castle NG East LLC
4702,40.870139,-73.846663,B,Crown Castle NG East LLC
4703,40.875131,-73.850422,B,Crown Castle NG East LLC
4704,40.840287,-73.886602,C,Crown Castle NG East LLC
4705,40.852527,-73.899887,C,Crown Castle NG East LLC
4706,40.820512,-73.904812,C,Crown Castle NG East LLC
4707,40.822739,-73.902854,C,Crown Castle NG East LLC
4708,40.637767,-74.13232,B,Crown Castle NG East LLC
4710,40.629411,-74.080479,B,Crown Castle NG East LLC
4711,40.89788,-73.864185,B,Crown Castle NG East LLC
4712,40.637772,-74.138103,B,Crown Castle NG East LLC
4713,40.845699,-73.858766,B,Crown Castle NG East LLC
4714,40.88646,-73.914074,B,Crown Castle NG East LLC
4715,40.826937,-73.918747,C,Crown Castle NG East LLC
4716,40.642066,-74.078095,B,Crown Castle NG East LLC
4717,40.835555,-73.845669,B,Crown Castle NG East LLC
4718,40.612642,-74.092626,B,Crown Castle NG East LLC
4719,40.846637,-73.866755,B,Crown Castle NG East LLC
4720,40.844151,-73.852003,B,Crown Castle NG East LLC
4721,40.847613,-73.854749,B,Crown Castle NG East LLC
4722,40.854974,-73.892371,C,Crown Castle NG East LLC
4723,40.863605,-73.853822,B,Crown Castle NG East LLC
4724,40.878595,-73.898423,B,Crown Castle NG East LLC
4725,40.83961,-73.905313,C,Crown Castle NG East LLC
4726,40.635082,-74.159095,B,Crown Castle NG East LLC
4727,40.825738,-73.881272,B,Crown Castle NG East LLC
4728,40.813656,-73.806667,B,Crown Castle NG East LLC
4729,40.629034,-74.161718,B,Crown Castle NG East LLC
4730,40.633048,-74.113179,B,Crown Castle NG East LLC
4731,40.8263,-73.901501,C,Crown Castle NG East LLC
4732,40.868349,-73.908124,C,Crown Castle NG East LLC
4733,40.61351,-74.08493,B,Crown Castle NG East LLC
4734,40.816851,-73.820051,B,Crown Castle NG East LLC
4735,40.833091,-73.912242,C,Crown Castle NG East LLC
4736,40.87336,-73.845411,B,Crown Castle NG East LLC
4737,40.847954,-73.864063,B,Crown Castle NG East LLC
4738,40.872404,-73.851145,B,Crown Castle NG East LLC
4739,40.832403,-73.903397,C,Crown Castle NG East LLC
4740,40.820801,-73.825991,B,Crown Castle NG East LLC
4741,40.83574,-73.855133,B,Crown Castle NG East LLC
4742,40.868855,-73.837203,B,Crown Castle NG East LLC
4743,40.884635,-73.877781,C,Crown Castle NG East LLC
4744,40.863905,-73.839775,B,Crown Castle NG East LLC
4745,40.837032,-73.927151,C,Crown Castle NG East LLC
4746,40.82296,-73.816638,B,Crown Castle NG East LLC
4747,40.87694,-73.838536,B,Crown Castle NG East LLC
4748,40.809753,-73.803124,B,Crown Castle NG East LLC
4749,40.626174,-74.091931,B,Crown Castle NG East LLC
4750,40.832738,-73.867462,B,Crown Castle NG East LLC
